Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Studio,SF Bay Area,Education,33,0.4,2022-06-13,Internal memo,50.0,Series B,2022-06-14 14:48:08,United States,Unknown
Automox,Boulder,Infrastructure,,,2022-06-13,https://www.linkedin.com/posts/automox_today-due-to-the-broader-economic-climate-activity-6942147336605233152-S-xy/,152.0,Series C,2022-06-14 14:50:22,United States,Unknown
Desktop Metal,Boston,Other,,0.12,2022-06-13,https://www.marketwatch.com/amp/story/desktop-metal-to-lay-off-about-12-of-workforce-271655121739,811.0,IPO,2022-06-13 16:23:46,United States,Unknown
Crypto.com,Singapore,Crypto,260,0.05,2022-06-10,https://blockworks.co/crypto-com-cutting-5-of-workforce-amid-digital-asset-downturn/,156.0,Unknown,2022-06-11 16:06:48,Singapore,Unknown
FarEye,New Delhi,Logistics,250,0.3,2022-06-10,https://inc42.com/buzz/exclusive-dragoneer-backed-fareye-lays-off-250-employees/,150.0,Series E,2022-06-10 18:55:02,India,Unknown
Berlin Brands Group,Berlin,Retail,100,0.1,2022-06-10,https://www.startbase.com/news/berlin-brands-group-entlaesst-fast-100-mitarbeiter/,1000.0,Unknown,2022-06-21 03:15:48,Germany,Unknown
Sanar,Sao Paulo,Healthcare,60,0.2,2022-06-10,"https://www.terra.com.br/noticias/tecnologia/inovacao/startup-de-medicina-sanar-demite-60-e-pega-funcionarios-de-surpresa,313ce3bfb0f7ebdf601130784b3e8f5fjpp13hkv.html",11.0,Unknown,2022-06-11 15:52:31,Brazil,Unknown
Freetrade,London,Finance,45,0.15,2022-06-10,https://www.altfi.com/article/9362_exclusive-freetrade-announces-job-cuts-of-up-to-15-of-staff,133.0,Unknown,2022-06-10 14:27:39,United Kingdom,Unknown
Albert,Los Angeles,Finance,20,0.08,2022-06-10,https://dot.la/albert-fintech-layoffs-2657493613.html50,175.0,Series C,2022-06-11 16:05:02,United States,Unknown
Keepe,Seattle,Real Estate,,,2022-06-10,https://www.geekwire.com/2022/home-repair-service-keepe-lays-off-staff-as-economic-uncertainty-spooks-startups/,6.0,Unknown,2022-06-11 03:57:40,United States,Unknown
Liongard,Houston,Infrastructure,,,2022-06-10,https://www.crn.com/news/channel-programs/liongard-lays-off-employees-the-most-difficult-decision-,22.0,Series B,2022-06-11 04:05:54,United States,Unknown
Ziroom,Beijing,Real Estate,,0.2,2022-06-10,https://pandaily.com/ziroom-lays-off-20-of-hq-staff-property-count-falls-by-nearly-150k/,2100.0,Unknown,2022-06-11 03:55:08,China,Unknown
OneTrust,Atlanta,Security,950,0.25,2022-06-09,https://www.onetrust.com/blog/onetrust-organizational-update/,926.0,Series C,2022-06-10 04:14:42,United States,Unknown
Stitch Fix,SF Bay Area,Retail,330,0.15,2022-06-09,https://www.cnbc.com/2022/06/09/stitch-fix-is-laying-off-15percent-of-its-salaried-employees-internal-memo-says.html,79.0,IPO,2022-06-09 19:49:32,United States,Unknown
Daniel Wellington,Stockholm,Retail,200,0.15,2022-06-09,https://www.breakit.se/artikel/33347/stora-nedskarningar-pa-daniel-wellington-200-personer-sags-upp,,Unknown,2022-07-25 04:27:46,Sweden,Unknown
Convoy,Seattle,Logistics,90,0.07,2022-06-09,https://www.geekwire.com/2022/convoy-which-just-raised-260m-lays-off-7-of-workforce-in-latest-tech-startup-cuts/,1100.0,Series E,2022-06-10 04:13:41,United States,Unknown
Hologram,Chicago,Infrastructure,80,0.4,2022-06-09,LinkedIn,82.0,Series B,2022-06-09 15:24:49,United States,Unknown
Boozt,Malmo,Retail,70,0.05,2022-06-09,https://www.breakit.se/artikel/33353/sparpaket-pa-boozt-efter-vinstsmallen-sager-upp-personal,56.0,IPO,2022-07-25 04:26:21,Sweden,Unknown
The Grommet,Boston,Retail,40,1.0,2022-06-09,https://www.bizjournals.com/boston/news/2022/06/09/the-grommet-layoffs-employees.html,5.0,Acquired,2022-06-10 18:59:24,United States,Unknown
Stashaway,Singapore,Finance,31,0.14,2022-06-09,https://www.techinasia.com/stashaway-lays-off-staff,61.0,Series D,2022-06-09 19:57:23,Singapore,Unknown
Preply,Boston,Education,26,0.05,2022-06-09,Internal memo,100.0,Series C,2022-06-10 04:21:55,United States,Unknown
Jellysmack,New York City,Media,,0.08,2022-06-09,https://www.businessinsider.com/jellysmack-laid-off-employees-economic-slowdown-email-ceo-to-employees-2022-6,22.0,Series C,2022-06-10 04:26:49,United States,Unknown
Starship,SF Bay Area,Transportation,,0.11,2022-06-09,https://www.starship.xyz/press_releases/starship-technologies-announces-internal-changes/,197.0,Series B,2022-06-14 14:54:29,United States,Unknown
Trade Republic,Berlin,Finance,,,2022-06-09,https://financefwd.com/de/entlassungen-bei-trade-republic/,1200.0,Series C,2022-06-09 19:59:03,Germany,Unknown
Sonder,SF Bay Area,Travel,250,0.21,2022-06-08,Internal memo,839.0,IPO,2022-06-09 03:25:16,United States,Unknown
Kavak,Sao Paulo,Transportation,150,,2022-06-08,"https://www.terra.com.br/amp/noticias/tecnologia/inovacao/startup-kavak-demite-150-no-rio-e-em-sao-paulo,5cd47d831e523a86ead7e9b2cb92b9dcg9xp78y3.html",1600.0,Series E,2022-06-09 19:00:48,Brazil,Unknown
Truepill,SF Bay Area,Healthcare,150,0.15,2022-06-08,https://medium.com/truepill-insights/a-message-from-truepill-ceo-sid-viswanathan-9973660e2d8,255.0,Series D,2022-06-10 04:24:53,United States,Unknown
iPrice Group,Kuala Lumpur,Retail,50,0.2,2022-06-08,https://www.techinasia.com/malaysias-iprice-group-sacks-20-employees,26.0,Unknown,2022-06-30 03:04:06,Malaysia,Unknown
Memmo,Stockholm,Consumer,,0.4,2022-06-08,https://www.breakit.se/artikel/33321/stort-sparpaket-pa-memmo-man-maste-se-annorlunda-ut,24.0,Unknown,2022-06-11 03:58:49,Sweden,Unknown
Cazoo,London,Transportation,750,0.15,2022-06-07,https://news.sky.com/story/car-retailer-cazoo-to-cut-750-jobs-after-inflation-hit-12629350,2000.0,IPO,2022-06-07 15:27:46,United Kingdom,Unknown
Cazoo,London,Transportation,750,0.15,2022-06-07,https://sifted.eu/articles/cazoo-layoffs-european-union/,2000.0,IPO,2022-09-09 01:46:48,United Kingdom,Unknown
Rupeek,Bengaluru,Finance,180,0.15,2022-06-07,https://www.moneycontrol.com/news/business/startup/gold-loan-platform-rupeek-lays-off-over-180-of-its-employees-8653571.html,172.0,Unknown,2022-06-07 15:23:18,India,Unknown
Lummo,Jakarta,Marketing,150,,2022-06-07,https://www.moneycontrol.com/news/business/startup/jeff-bezos-sequoia-capital-backed-saas-startup-lummo-lays-off-50-60-employees-from-its-bengaluru-office-8663251.html,149.0,Series C,2022-06-10 04:31:45,Indonesia,Unknown
Bird,Los Angeles,Transportation,138,0.23,2022-06-07,Internal memo,783.0,IPO,2022-06-07 16:49:14,United States,Unknown
ID.me,Washington D.C.,Security,130,,2022-06-07,https://www.businessinsider.com/idme-identity-verification-irs-unemployment-facial-recognition-staff-layoffs-economy-2022-6,275.0,Unknown,2022-06-08 02:24:03,United States,Unknown
KiwiCo,SF Bay Area,Retail,40,,2022-06-07,Internal memo,11.0,Unknown,2022-06-17 03:04:37,United States,Unknown
Bond,SF Bay Area,Finance,,,2022-06-07,Internal memo,42.0,Series A,2022-06-10 04:29:00,United States,Unknown
CyberCube,SF Bay Area,Finance,,,2022-06-07,Internal memo,35.0,Series B,2022-06-19 17:14:49,United States,Unknown
Propzy,Ho Chi Minh City,Real Estate,,0.5,2022-06-07,https://www.techinasia.com/vietnamese-proptech-startup-propzy-restructure-laying-50-staff,33.0,Series A,2022-09-15 03:57:32,Vietnam,Unknown
Clearco,Toronto,Finance,60,,2022-06-06,https://techcrunch.com/2022/08/30/clearco-cuts-international-staff-as-it-retracts-presence-announces-new-partner/,681.0,Series C,2022-08-30 22:47:26,Canada,Unknown
Dutchie,Bend,Other,50,0.07,2022-06-06,https://www.geekwire.com/2022/dutchie-lays-off-7-of-workforce-citing-dramatic-market-shift-in-latest-cannabis-tech-company-cuts/,603.0,Series D,2022-06-07 00:40:23,United States,Unknown
Clearco,Dublin,Finance,,,2022-06-06,https://betakit.com/clearco-expands-to-germany-while-cutting-staff-in-ireland/,681.0,Series C,2022-08-05 19:25:03,Ireland,Unknown
Deep Instinct,New York City,Security,,0.1,2022-06-06,https://news.crunchbase.com/job-market/cybersecurity-tech-layoffs-deep-instinct/,259.0,Series D,2022-06-09 03:18:48,United States,Unknown
Sendoso,SF Bay Area,Marketing,,0.14,2022-06-06,https://www.businessinsider.com/layoffs-at-softbank-backed-gifting-startup-sendoso-2022-6,152.0,Series C,2022-06-06 20:57:26,United States,Unknown
Eruditus,Mumbai,Education,40,,2022-06-04,https://inc42.com/buzz/softbank-backed-edtech-unicorn-eruditus-trims-workforce-lays-off-40-employees/,1200.0,Series E,2022-06-06 00:46:19,India,Unknown
Superhuman,SF Bay Area,Consumer,23,0.22,2022-06-03,https://www.businessinsider.com/superhuman-email-startup-lays-off-22-percent-staff-2022-6,108.0,Series C,2022-06-03 21:55:38,United States,Unknown
Food52,New York City,Food,21,0.15,2022-06-03,https://www.adweek.com/media/food52-lays-off-15-of-its-staff-in-a-second-round-of-cuts/,176.0,Acquired,2022-06-07 00:46:50,United States,Unknown
5B Solar,Sydney,Energy,,0.25,2022-06-03,https://www.news.com.au/finance/business/manufacturing/aussie-startup-5b-solar-sacks-25-per-cent-of-staff/news-story/55133297ccce5f1b7d1edf38f117a631,12.0,Series A,2022-06-03 17:58:46,Australia,Unknown
Clubhouse,SF Bay Area,Consumer,,,2022-06-03,https://www.bloomberg.com/news/articles/2022-06-03/audio-app-clubhouse-lays-off-staff-as-strategy-shifts#xj4y7vzkg,110.0,Series C,2022-06-04 02:38:08,United States,Unknown
Tesla,Austin,Transportation,,0.1,2022-06-03,https://www.cnbc.com/2022/06/03/heres-the-email-elon-musk-sent-all-tesla-employees-10percent-job-cuts.html,20200.0,IPO,2022-11-10 00:54:47,United States,Unknown
Carbon Health,SF Bay Area,Healthcare,250,0.08,2022-06-02,https://www.forbes.com/sites/katiejennings/2022/06/02/healthtech-unicorn-carbon-health-lays-off-250-employees/,522.0,Series D,2022-06-02 16:32:32,United States,Unknown
Favo,Sao Paulo,Food,170,,2022-06-02,https://exame.com/negocios/de-malas-prontas-startup-favo-deixa-o-brasil-e-demite-170-funcionarios/,31.0,Series A,2022-06-02 23:44:23,Brazil,Unknown
PolicyGenius,New York City,Finance,170,0.25,2022-06-02,https://techcrunch.com/2022/06/02/insurtech-policygenius-cuts-25-of-staff-less-than-3-months-after-raising-125m/,286.0,Series E,2022-06-02 19:58:37,United States,Unknown
Yojak,Gurugram,Construction,140,0.5,2022-06-02,https://inc42.com/buzz/info-edge-backed-yojak-lays-off-around-140-employees/,3.0,Seed,2022-06-05 21:38:19,India,Unknown
Envato,Melbourne,Marketing,100,,2022-06-02,https://www.smartcompany.com.au/technology/envato-redundancy-business-restructuring/,,Unknown,2022-06-02 20:30:21,Australia,Unknown
Gemini,New York City,Crypto,100,0.1,2022-06-02,https://www.bloomberg.com/news/articles/2022-06-02/winklevoss-twins-gemini-slashes-staff-10-on-crypto-slump,423.0,Unknown,2022-06-02 16:45:39,United States,Unknown
Stord,Atlanta,Logistics,59,0.08,2022-06-02,https://www.businessinsider.com/stord-layoffs-supply-chain-tech-startup-after-raising-120-million-2022-6,325.0,Series D,2022-06-03 17:55:16,United States,Unknown
Gather,SF Bay Area,Consumer,30,0.33,2022-06-02,https://www.forbes.com/sites/kenrickcai/2022/07/08/gather-town-layoffs-virtual-office-startup-june-2022/?sh=2ca5ac9d4748,76.0,Series B,2022-06-16 02:47:14,United States,Unknown
Shef,SF Bay Area,Food,29,,2022-06-02,Internal memo,28.0,Series A,2022-06-03 22:21:40,United States,Unknown
IRL,SF Bay Area,Consumer,25,0.25,2022-06-02,https://techcrunch.com/2022/06/02/irl-layoffs-abraham-shafi-social-media/,197.0,Series C,2022-06-02 20:29:40,United States,Unknown
Esme Learning,Boston,Education,,,2022-06-02,https://esmelearning.com/blogs/news/esmes-new-horizon,37.0,Unknown,2022-06-02 23:48:24,United States,Unknown
Kaodim,Selangor,Consumer,,1.0,2022-06-02,"https://www.thestar.com.my/tech/tech-news/2022/06/02/malaysian-startup-kaodim-to-shut-down-on-july-1-cites-rising-costs-among-challenges#:~:text=Kaodim%20has%20announced%20that%20its,operational%20from%20July%201%2C%202022",17.0,Series B,2022-06-11 04:04:05,United States,Unknown
Rain,Manama,Finance,,,2022-06-02,https://www.bloomberg.com/news/articles/2022-06-02/coinbase-backed-rain-cuts-jobs-amid-cryptocurrency-selloff?srnd=technology-vp#xj4y7vzkg,202.0,Series B,2022-06-04 22:00:24,Bahrain,Unknown
Cybereason,Boston,Security,100,0.06,2022-06-01,https://www.calcalistech.com/ctechnews/article/s1zg60v005,750.0,Series F,2022-06-01 15:45:50,United States,Unknown
Udayy,Gurugram,Education,100,1.0,2022-06-01,https://www.moneycontrol.com/news/business/startup/info-edge-backed-edtech-startup-udayy-shuts-down-lays-off-all-employees-8621551.html,2.0,Seed,2022-06-01 15:41:15,India,Unknown
2TM,Sao Paulo,Crypto,90,0.12,2022-06-01,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",250.0,Unknown,2022-06-02 03:21:30,Brazil,Unknown
Curve,London,Finance,65,0.1,2022-06-01,https://www.altfi.com/article/9332_exclusive-curve-joins-klarna-in-mass-jobs-cut,182.0,Series C,2022-06-02 18:07:38,United Kingdom,Unknown
Loom,SF Bay Area,Product,34,0.14,2022-06-01,https://techcrunch.com/2022/06/01/a16z-backed-loom-video-layoffs/,203.0,Series C,2022-06-01 23:34:42,United States,Unknown
Skillshare,New York City,Education,31,,2022-06-01,Internal memo,136.0,Unknown,2022-06-09 19:53:41,United States,Unknown
Impala,London,Travel,30,0.35000000000000003,2022-06-01,https://newsletter.pragmaticengineer.com/p/the-scoop-13,32.0,Series B,2022-06-10 19:14:58,United Kingdom,Unknown
Eaze,SF Bay Area,Consumer,25,,2022-06-01,https://www.businessinsider.com/cannabis-tech-startup-eaze-laid-off-employees-2022-6,202.0,Series D,2022-06-02 21:37:58,United States,Unknown
Side,SF Bay Area,Real Estate,,0.1,2022-06-01,https://www.inman.com/2022/06/01/side-lays-off-10-of-workforce-1-year-after-unicorn-valuation/,313.0,Unknown,2022-06-01 23:57:36,United States,Unknown
Truck It In,Karachi,Logistics,,0.3,2022-06-01,https://techx.pk/truck-it-in-follows-the-airlift-and-swvl-path-laying-off-around-30-of-its-workforce/,17.0,Seed,2022-06-01 15:51:57,Pakistan,Unknown
Playtika,Tel Aviv,Consumer,250,0.06,2022-05-31,https://en.globes.co.il/en/article-israeli-mobile-games-co-playtika-to-lay-off-250-1001413811,,IPO,2022-05-31 15:22:20,Israel,Unknown
Replicated,Los Angeles,Infrastructure,50,,2022-05-31,https://www.replicated.com/blog/a-message-from-replicateds-ceo/,85.0,Series C,2022-06-01 15:49:26,United States,Unknown
Tomo,Stamford,Finance,44,0.33,2022-05-31,https://www.businessinsider.com/purchase-mortgage-company-tomo-lays-off-staff-housing-market-slows-2022-5,110.0,Series A,2022-06-01 00:56:27,United States,Unknown
Getta,Tel Aviv,Transportation,30,,2022-05-31,https://www.themarker.com/technation/2022-05-31/ty-article/.premium/00000181-18d2-d57f-afc1-b8d762210000,49.0,Series A,2022-06-01 01:03:29,Israel,Unknown
BookClub,Salt Lake City,Education,12,0.25,2022-05-31,Internal memo,26.0,Series A,2022-06-06 21:00:48,United States,Unknown
Cerebral,SF Bay Area,Healthcare,,,2022-05-31,https://www.bloomberg.com/news/articles/2022-05-31/cerebral-announces-layoffs-amid-script-cutbacks-legal-probe#xj4y7vzkg,462.0,Series C,2022-06-03 21:00:17,United States,Unknown
SWVL,Dubai,Transportation,400,0.32,2022-05-30,https://techcrunch.com/2022/05/30/swvl-plans-to-lay-off-32-of-its-team-two-months-after-going-public/,132.0,IPO,2022-05-31 02:08:09,United Arab Emirates,Unknown
Mobile Premier League,Bengaluru,Consumer,100,0.1,2022-05-30,https://www.moneycontrol.com/news/business/startup/exclusive-mobile-premier-league-to-lay-off-100-employees-exit-indonesia-market-8603881.html,375.0,Series E,2022-05-31 15:17:13,India,Unknown
SumUp,Sao Paulo,Finance,100,0.03,2022-05-30,https://financefwd.com/de/sumup-entlassungen-brasilien/,50.0,Unknown,2022-05-31 15:20:31,Brazil,Unknown
Tempus Ex,SF Bay Area,Data,,,2022-05-30,Internal memo,36.0,Unknown,2022-06-16 04:11:30,United States,Unknown
FrontRow,Bengaluru,Education,145,0.3,2022-05-27,https://inc42.com/buzz/exclusive-lightspeed-backed-frontrow-lays-off-145-employees-cut-cost/,17.0,Series A,2022-05-31 02:05:53,India,Unknown
Daloopa,New Delhi,Data,40,,2022-05-27,https://www.moneycontrol.com/news/business/daloopa-lays-off-40-employees-noida-8620121.html,23.0,Series A,2022-06-02 03:23:54,India,Unknown
Uncapped,London,Finance,29,0.26,2022-05-27,https://sifted.eu/articles/startup-tech-company-layoffs/,118.0,Unknown,2022-05-28 00:11:03,United Kingdom,Unknown
Akerna,Denver,Logistics,,,2022-05-27,https://news.yahoo.com/akerna-announces-corporate-restructuring-213000829.html,46.0,Unknown,2022-06-11 04:00:41,United States,Unknown
Terminus,Atlanta,Marketing,,,2022-05-27,https://www.bizjournals.com/atlanta/inno/stories/news/2022/05/27/terminus-atlanta-startup-layoffs.html,120.0,Series C,2022-05-28 00:16:59,United States,Unknown
